,_wpmbiasp,_wp5,_wp4,_wp1,_wp0,_wnmbiasp,_wnmbiasn,_wn8,_wn6,_wn4,_wn0,_nfpmbiasp,_nfp5,_nfp4,_nfp1,_nfp0,_nfnmbiasp,_nfnmbiasn,_nfn8,_nfn6,_nfn4,_nfn0,_lpmbiasp,_lp5,_lp4,_lp1,_lp0,_lnmbiasp,_lnmbiasn,_ln8,_ln6,_ln4,_ln0,fom,gdc,idd,gbw,pm,cload
4714,9.08E-6,8.58E-6,7.8E-6,1.2E-7,9.6E-7,1.12E-6,9.94E-6,2.56E-6,1.2E-7,3.22E-6,1.4E-7,6.0,2.0,1.0,1.0,1.0,15.0,3.0,1.0,1.0,1.0,1.0,1.36E-6,3.4E-7,2.2E-7,1.02E-6,2.2E-7,8.0E-7,1.72E-6,1.08E-6,1.84E-6,1.8E-6,1.24E-6,3854.2,51.421,8.1631E-5,5.2436E7,67.888,6.999999999999999e-12
4715,8.06E-6,9.42E-6,7.02E-6,1.2E-7,9.8E-7,9.0E-7,8.96E-6,1.04E-6,1.2E-7,3.92E-6,1.4E-7,4.0,3.0,2.0,1.0,1.0,6.0,7.0,3.0,1.0,1.0,1.0,1.42E-6,4.4E-7,2.6E-7,9.0E-7,2.0E-7,8.8E-7,9.6E-7,8.6E-7,1.8E-6,1.94E-6,6.2E-7,4804.5,51.418,1.0808E-4,8.6543E7,63.627,6.999999999999999e-12
4716,8.96E-6,9.8E-6,6.58E-6,1.2E-7,1.0E-6,1.54E-6,9.42E-6,3.78E-6,1.2E-7,5.12E-6,1.2E-7,13.0,2.0,1.0,1.0,1.0,5.0,10.0,1.0,1.0,1.0,2.0,1.66E-6,2.8E-7,1.8E-7,6.6E-7,1.4E-7,1.12E-6,1.46E-6,1.38E-6,1.82E-6,1.88E-6,1.3E-6,4669.5,51.391,1.056E-4,8.218E7,69.671,6.999999999999999e-12
4717,9.86E-6,8.16E-6,9.18E-6,1.2E-7,1.0E-6,1.38E-6,9.38E-6,4.42E-6,1.2E-7,3.02E-6,2.0E-7,2.0,2.0,1.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,1.7E-6,3.4E-7,8.0E-8,9.0E-7,1.4E-7,1.38E-6,1.32E-6,1.52E-6,1.88E-6,1.86E-6,1.0E-6,5139.3,51.372,1.1811E-4,1.0117E8,61.107,6.999999999999999e-12
4718,8.98E-6,9.5E-6,6.58E-6,1.2E-7,1.0E-6,1.54E-6,9.42E-6,3.9E-6,1.2E-7,3.9E-6,1.2E-7,1.0,2.0,1.0,1.0,1.0,5.0,10.0,1.0,1.0,1.0,2.0,1.72E-6,2.6E-7,1.8E-7,6.6E-7,1.4E-7,1.14E-6,1.46E-6,1.38E-6,1.84E-6,1.82E-6,1.1E-6,5023.1,51.332,1.1292E-4,9.4535E7,68.486,6.999999999999999e-12
4719,8.42E-6,9.98E-6,6.6E-6,1.2E-7,1.3E-6,1.84E-6,7.48E-6,4.14E-6,1.2E-7,2.78E-6,1.8E-7,10.0,2.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,1.0,2.0,1.4E-6,3.0E-7,1.8E-7,5.8E-7,2.0E-7,1.44E-6,9.8E-7,1.76E-6,1.8E-6,1.96E-6,1.3E-6,5059.5,51.313,1.1618E-4,9.7968E7,63.142,6.999999999999999e-12
4720,9.86E-6,8.16E-6,9.18E-6,1.2E-7,1.0E-6,1.38E-6,9.38E-6,4.42E-6,1.2E-7,3.02E-6,2.0E-7,2.0,2.0,1.0,1.0,1.0,2.0,12.0,1.0,1.0,1.0,1.0,1.7E-6,3.4E-7,8.0E-8,9.0E-7,1.4E-7,1.38E-6,1.32E-6,1.52E-6,1.88E-6,1.72E-6,1.0E-6,5131.1,51.294,1.18E-4,1.0091E8,61.174,6.999999999999999e-12
4721,7.72E-6,9.98E-6,6.14E-6,1.2E-7,4.6E-7,1.2E-6,8.26E-6,4.38E-6,1.2E-7,3.2E-6,1.6E-7,8.0,2.0,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,1.0,1.46E-6,3.6E-7,6.0E-8,9.6E-7,2.0E-7,1.36E-6,8.8E-7,1.82E-6,1.9E-6,1.96E-6,1.32E-6,4422.6,51.283,9.2761E-5,6.8374E7,62.881,6.999999999999999e-12
4722,9.98E-6,7.36E-6,9.56E-6,1.2E-7,1.1E-6,1.16E-6,9.12E-6,1.34E-6,1.2E-7,4.8E-6,1.2E-7,5.0,2.0,1.0,1.0,1.0,27.0,2.0,3.0,1.0,1.0,2.0,1.58E-6,2.2E-7,1.4E-7,7.6E-7,1.4E-7,9.0E-7,1.18E-6,1.46E-6,1.54E-6,1.92E-6,1.2E-6,5581.2,51.277,1.1156E-4,1.0377E8,64.273,6.999999999999999e-12
4723,9.86E-6,1.0E-5,7.82E-6,1.2E-7,1.02E-6,1.56E-6,9.7E-6,3.56E-6,1.2E-7,3.56E-6,1.2E-7,35.0,2.0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,1.0,2.0,1.8E-6,2.4E-7,1.4E-7,7.4E-7,1.6E-7,1.28E-6,1.46E-6,9.0E-7,1.54E-6,1.92E-6,8.8E-7,5092.7,51.224,1.3654E-4,1.1589E8,66.084,6.999999999999999e-12
